ep01,ep04,pi02,pv01,lm01,lm02,hs01,hs04,hs06,hs07,sex,age,iscd975,work,inc,miscd975,fiscd975,gkpol,hhinc,mstat,gd02,fe13,fe14,fe15,fe16,fe17,mc04,im18,xt10
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,AN 2 TAGEN,100.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,OFT,MANN,62.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,2875,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,,,,STIMME EHER ZU,75.0
SCHLECHT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,AFD,AN 5 TAGEN,120.0,WENIGER GUT,IMMER,MANCHMAL,MANCHMAL,MANN,26.0,LOWER SECONDARY,"VOLLZEIT, GANZTAGS",2100,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2500,LEDIG,,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,32.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,240.0,GUT,,,,FRAU,66.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1875,LOWER SECONDARY,LOWER SECONDARY,500.000 UND MEHR E.,4750,VERHEIRAT.ZUSAM.LEB.,8,,,,,,NEIN,STIMME EHER ZU,110.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,AFD,AN ALLEN 7 TAGEN,120.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,OFT,MANN,39.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2625,POST SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3250,VERHEIRAT.ZUSAM.LEB.,,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,,STIMME VOLL ZU,44.0
,,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,195.0,GUT,MANCHMAL,OFT,OFT,FRAU,71.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1063,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,2125,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,60.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,330.0,GUT,,,,FRAU,68.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1438,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,,VERHEIRAT.ZUSAM.LEB.,13,,,,,,JA,STIMME EHER ZU,40.0
,,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,270.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,FAST NIE,FRAU,69.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1063,TERTIARY EDUCATION,TERTIARY EDUCATION,50.000 - 99.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,23,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,NEIN,STIMME VOLL ZU,70.0
,,SOZ.LEIST.WIE BISHER,DIE LINKE,AN ALLEN 7 TAGEN,150.0,GUT,FAST NIE,MANCHMAL,MANCHMAL,FRAU,68.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1063,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,2125,VERHEIRAT.ZUSAM.LEB.,43,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,DRITTE STELLE,NEIN,STIMME EHER NICHT ZU,60.0
,,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 3 TAGEN,180.0,SEHR GUT,OFT,OFT,MANCHMAL,FRAU,57.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4250,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,8750,VERHEIRAT.ZUSAM.LEB.,57,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,45.0
,,,,AN ALLEN 7 TAGEN,180.0,GUT,MANCHMAL,OFT,MANCHMAL,FRAU,21.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,450,UPPER SECONDARY,POST SECONDARY,20.000 - 49.999 EINW,,LEDIG,21,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,NEIN,STIMME EHER NICHT ZU,30.0
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,,AN 6 TAGEN,,GUT,MANCHMAL,OFT,OFT,MANN,51.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2875,TERTIARY EDUCATION,TERTIARY EDUCATION,2.000  -  4.999 EINW,2875,GESCHIEDEN,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,,ZUFRIEDENSTELLEND,NIE,MANCHMAL,FAST NIE,MANN,82.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,1188,BASIC EDUCATION,BASIC EDUCATION,5.000  - 19.999 EINW,2125,VERHEIRAT.ZUSAM.LEB.,,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,,STIMME GAR NICHT ZU,115.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,,AN 2 TAGEN,30.0,ZUFRIEDENSTELLEND,,,,MANN,50.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",3250,,,100.000 - 499.999 E.,3250,VERHEIRAT.ZUSAM.LEB.,17,,,,,,JA,STIMME GAR NICHT ZU,
,,SOZ.LEIST.WIE BISHER,NICHT WAHLBERECHTIGT,AN ALLEN 7 TAGEN,360.0,GUT,NIE,MANCHMAL,MANCHMAL,FRAU,66.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,1875,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3750,VERHEIRAT.ZUSAM.LEB.,48,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,135.0
GUT,,SOZ.LEIST.AUSWEITEN,,AN 3 TAGEN,180.0,SEHR GUT,FAST NIE,MANCHMAL,OFT,FRAU,25.0,TERTIARY EDUCATION,NEBENHER BERUFSTAE.,500,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,938,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,23.0
,,SOZ.LEIST.AUSWEITEN,,AN 2 TAGEN,180.0,SEHR GUT,MANCHMAL,OFT,MANCHMAL,FRAU,22.0,TERTIARY EDUCATION,NEBENHER BERUFSTAE.,350,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2375,LEDIG,22,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,62.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 4 TAGEN,60.0,SEHR GUT,,,,MANN,41.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",,POST SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,,VERHEIRAT.ZUSAM.LEB.,4,,,,,,NEIN,STIMME GAR NICHT ZU,756.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,150.0,WENIGER GUT,,,,MANN,58.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2625,LOWER SECONDARY,LOWER SECONDARY,2.000  -  4.999 EINW,2625,LEDIG,58,,,,,,JA,STIMME EHER NICHT ZU,180.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 4 TAGEN,150.0,ZUFRIEDENSTELLEND,,,,MANN,55.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",8750,LOWER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,8750,VERHEIRAT.ZUSAM.LEB.,45,,,,,,JA,STIMME GAR NICHT ZU,
SCHLECHT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,AFD,AN 5 TAGEN,150.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,FAST NIE,MANN,72.0,POST SECONDARY,NICHT ERWERBSTAETIG,550,LOWER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,1188,VERHEIRAT.ZUSAM.LEB.,,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,300.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN ALLEN 7 TAGEN,150.0,GUT,OFT,OFT,IMMER,FRAU,35.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",2200,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,5900,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,78.0
TEILS TEILS,ETWAS SCHLECHTER,,,AN ALLEN 7 TAGEN,180.0,GUT,MANCHMAL,OFT,OFT,MANN,59.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2375,BASIC EDUCATION,,5.000  - 19.999 EINW,2375,GESCHIEDEN,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,40.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,,ZUFRIEDENSTELLEND,,,,MANN,76.0,BASIC EDUCATION,NICHT ERWERBSTAETIG,,LOWER SECONDARY,,5.000  - 19.999 EINW,,,,,,,,,NEIN,STIMME VOLL ZU,4320.0
,,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,120.0,SEHR GUT,MANCHMAL,OFT,OFT,MANN,58.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",3000,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,4000,VERHEIRAT.ZUSAM.LEB.,18,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,19.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,WUERDE NICHT WAEHLEN,AN 3 TAGEN,180.0,SCHLECHT,OFT,FAST NIE,FAST NIE,MANN,38.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1625,LOWER SECONDARY,LOWER SECONDARY,20.000 - 49.999 EINW,4750,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,120.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,CDU-CSU,AN 6 TAGEN,120.0,GUT,OFT,MANCHMAL,FAST NIE,FRAU,50.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1438,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,4750,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,25.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,180.0,GUT,,,,MANN,50.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2500,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3500,VERHEIRAT.ZUSAM.LEB.,50,,,,,,NEIN,STIMME EHER NICHT ZU,58.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,CDU-CSU,SELTENER,120.0,ZUFRIEDENSTELLEND,,,,MANN,32.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3250,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3250,LEDIG,6,,,,,,JA,STIMME EHER ZU,38.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN 4 TAGEN,20.0,WENIGER GUT,,,,FRAU,46.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2125,UPPER SECONDARY,POST SECONDARY,500.000 UND MEHR E.,2125,LEDIG,25,,,,,,JA,STIMME VOLL ZU,5331.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,NIE,,SEHR GUT,,,,MANN,47.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",5500,BASIC EDUCATION,UPPER SECONDARY,500.000 UND MEHR E.,5500,LEDIG,37,,,,,,JA,STIMME GAR NICHT ZU,20.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,SELTENER,20.0,SEHR GUT,,,,MANN,39.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",3300,POST SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,8000,,2,,,,,,JA,STIMME VOLL ZU,30.0
,,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,300.0,GUT,FAST NIE,OFT,MANCHMAL,MANN,67.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1625,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3750,GESCHIEDEN,20,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,NEIN,STIMME GAR NICHT ZU,60.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,180.0,WENIGER GUT,,,,FRAU,61.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1063,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,4750,VERHEIRAT.ZUSAM.LEB.,61,,,,,,JA,STIMME VOLL ZU,45.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN ALLEN 7 TAGEN,180.0,GUT,MANCHMAL,OFT,MANCHMAL,FRAU,57.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",350,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,3000,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,62.0
,,SOZ.LEIST.WIE BISHER,WUERDE NICHT WAEHLEN,AN 6 TAGEN,120.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,MANCHMAL,MANN,69.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1625,LOWER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,69,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,NEIN,STIMME EHER NICHT ZU,45.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,AN 6 TAGEN,90.0,GUT,,,,MANN,63.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",,LOWER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,,VERHEIRAT.ZUSAM.LEB.,9,,,,,,JA,STIMME GAR NICHT ZU,29.0
,,,,AN 5 TAGEN,120.0,GUT,MANCHMAL,OFT,MANCHMAL,FRAU,58.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,39.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,150.0,GUT,,,,FRAU,34.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1625,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,4750,VERHEIRAT.ZUSAM.LEB.,8,,,,,,NEIN,STIMME GAR NICHT ZU,61.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,180.0,WENIGER GUT,FAST NIE,MANCHMAL,NIE,FRAU,69.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1063,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,1063,GESCHIEDEN,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,80.0
,,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,210.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,54.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2375,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,54,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,80.0
,,SOZ.LEIST.WIE BISHER,AFD,AN ALLEN 7 TAGEN,110.0,WENIGER GUT,MANCHMAL,MANCHMAL,FAST NIE,MANN,50.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2625,VERHEIRAT.ZUSAM.LEB.,50,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME GAR NICHT ZU,65.0
,,,DIE LINKE,AN 2 TAGEN,330.0,SEHR GUT,OFT,OFT,MANCHMAL,FRAU,20.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,UPPER SECONDARY,UPPER SECONDARY,,4250,LEDIG,,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,DRITTE STELLE,,STIMME GAR NICHT ZU,59.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 6 TAGEN,120.0,GUT,,,,MANN,69.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,3500,LOWER SECONDARY,,BIS 1.999 EINWOHNER,5800,VERH.GETRENNT LEBEND,24,,,,,,JA,STIMME GAR NICHT ZU,82.0
,,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,150.0,ZUFRIEDENSTELLEND,NIE,FAST NIE,FAST NIE,MANN,94.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,450,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,58,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,NEIN,STIMME EHER ZU,
,,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,200.0,GUT,FAST NIE,OFT,MANCHMAL,MANN,59.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4600,BASIC EDUCATION,UPPER SECONDARY,500.000 UND MEHR E.,5200,VERHEIRAT.ZUSAM.LEB.,19,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,55.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 6 TAGEN,150.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,MANCHMAL,MANN,65.0,BASIC EDUCATION,"VOLLZEIT, GANZTAGS",4000,LOWER SECONDARY,,500.000 UND MEHR E.,7000,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,,AM WICHTIGSTEN,,ZWEITE STELLE,,STIMME EHER NICHT ZU,36.0
TEILS TEILS,WESENTL. SCHLECHTER,SOZ.LEIST.WIE BISHER,WUERDE NICHT WAEHLEN,NIE,,ZUFRIEDENSTELLEND,OFT,MANCHMAL,MANCHMAL,MANN,33.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",1900,TERTIARY EDUCATION,,20.000 - 49.999 EINW,1900,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME EHER ZU,50.0
,,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,105.0,WENIGER GUT,OFT,FAST NIE,MANCHMAL,FRAU,54.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,813,UPPER SECONDARY,TERTIARY EDUCATION,BIS 1.999 EINWOHNER,2625,VERHEIRAT.ZUSAM.LEB.,3,,,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,90.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE LINKE,AN ALLEN 7 TAGEN,75.0,ZUFRIEDENSTELLEND,,,,FRAU,75.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,1313,BASIC EDUCATION,BASIC EDUCATION,2.000  -  4.999 EINW,1313,,75,,,,,,JA,STIMME EHER NICHT ZU,227.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,60.0,ZUFRIEDENSTELLEND,NIE,OFT,MANCHMAL,FRAU,94.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1188,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,1188,VERWITWET,69,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,JA,STIMME VOLL ZU,75.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN 6 TAGEN,60.0,SEHR GUT,MANCHMAL,OFT,MANCHMAL,MANN,48.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2900,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,5300,VERHEIRAT.ZUSAM.LEB.,15,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,34.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,,AN ALLEN 7 TAGEN,90.0,ZUFRIEDENSTELLEND,FAST NIE,FAST NIE,MANCHMAL,FRAU,80.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1438,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,1438,VERWITWET,,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,,STIMME EHER ZU,
GUT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,AFD,AN ALLEN 7 TAGEN,180.0,SEHR GUT,MANCHMAL,OFT,OFT,FRAU,66.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2125,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,2125,GESCHIEDEN,,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,,STIMME GAR NICHT ZU,55.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,330.0,WENIGER GUT,,,,FRAU,68.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,813,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,813,VERHEIRAT.ZUSAM.LEB.,50,,,,,,NEIN,STIMME EHER ZU,94.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,OFT,OFT,OFT,FRAU,52.0,TERTIARY EDUCATION,NEBENHER BERUFSTAE.,350,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,6750,LEDIG,,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,,110.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN EINEM TAG,120.0,SEHR GUT,OFT,OFT,OFT,FRAU,20.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,TERTIARY EDUCATION,TERTIARY EDUCATION,50.000 - 99.999 EINW,KEIN EINKOMMEN,LEDIG,1,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,20.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,DIE GRUENEN,NIE,,SEHR GUT,MANCHMAL,OFT,MANCHMAL,MANN,22.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,750,,UPPER SECONDARY,100.000 - 499.999 E.,2200,LEDIG,,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,45.0
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,FDP,AN 5 TAGEN,120.0,ZUFRIEDENSTELLEND,,,,FRAU,38.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1625,UPPER SECONDARY,UPPER SECONDARY,,3750,VERHEIRAT.ZUSAM.LEB.,4,,,,,,NEIN,STIMME EHER ZU,53.0
SEHR SCHLECHT,WESENTL. SCHLECHTER,SOZ.LEIST.WIE BISHER,ANDERE PARTEI,NIE,,ZUFRIEDENSTELLEND,IMMER,MANCHMAL,FAST NIE,MANN,35.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3250,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,,2397.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,DIE LINKE,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,MANN,52.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1500,TERTIARY EDUCATION,TERTIARY EDUCATION,20.000 - 49.999 EINW,2500,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,91.0
